Date,Weekly hadith
4/21,"Muslim: Book 30; Number 5658:
Anas b. Malik reported that Allah's Apostle (may peace be upon him) and his Companions were at a place known as az-Zaura that he called for a vessel containing water. He put his hand in that. And there began to spout (water) between his fingers and all the Companions performed ablution. Qatada; one of the narrators in the chain of narrators; said: Abu Hamza (the kunya of Hadrat Anas b. Malik); how many people were they? He said: They were about three hundred. 
"
4/22,"Muslim: Book 30; Number 5658:
Anas b. Malik reported that Allah's Apostle (may peace be upon him) and his Companions were at a place known as az-Zaura that he called for a vessel containing water. He put his hand in that. And there began to spout (water) between his fingers and all the Companions performed ablution. Qatada; one of the narrators in the chain of narrators; said: Abu Hamza (the kunya of Hadrat Anas b. Malik); how many people were they? He said: They were about three hundred. 
"
4/23,"Muslim: Book 30; Number 5672:
Jabir b. Abdullah reported Allah's Messenger (may peace be upon him) as saying. My example and your example is that of a person who lit the fire and insects and moths began to fall in it and he would be making efforts to take them out; and I am going to hold you back from fire; but you are slipping from my hand. 
"
4/24,"Muslim: Book 30; Number 5672:
Jabir b. Abdullah reported Allah's Messenger (may peace be upon him) as saying. My example and your example is that of a person who lit the fire and insects and moths began to fall in it and he would be making efforts to take them out; and I am going to hold you back from fire; but you are slipping from my hand. 
"
4/25,"Muslim: Book 30; Number 5672:
Jabir b. Abdullah reported Allah's Messenger (may peace be upon him) as saying. My example and your example is that of a person who lit the fire and insects and moths began to fall in it and he would be making efforts to take them out; and I am going to hold you back from fire; but you are slipping from my hand. 
"
4/26,"Muslim: Book 30; Number 5672:
Jabir b. Abdullah reported Allah's Messenger (may peace be upon him) as saying. My example and your example is that of a person who lit the fire and insects and moths began to fall in it and he would be making efforts to take them out; and I am going to hold you back from fire; but you are slipping from my hand. 
"
4/27,"Muslim: Book 30; Number 5672:
Jabir b. Abdullah reported Allah's Messenger (may peace be upon him) as saying. My example and your example is that of a person who lit the fire and insects and moths began to fall in it and he would be making efforts to take them out; and I am going to hold you back from fire; but you are slipping from my hand. 
"
4/28,"Muslim: Book 30; Number 5672:
Jabir b. Abdullah reported Allah's Messenger (may peace be upon him) as saying. My example and your example is that of a person who lit the fire and insects and moths began to fall in it and he would be making efforts to take them out; and I am going to hold you back from fire; but you are slipping from my hand. 
"
4/29,"Muslim: Book 30; Number 5728:
Musa b. Anas reported on the authority of his father: It never happened that Allah's Messenger (may peace be upon him) was asked anything for the sake of Islam and he did not give that. There came to him a person and he gave him a large flock (of sheep and goats) and he went back to his people and said: My people; embrace Islam; for Muhammad gives so much charity as if he has no fear of want."
4/30,"Muslim: Book 30; Number 5728:
Musa b. Anas reported on the authority of his father: It never happened that Allah's Messenger (may peace be upon him) was asked anything for the sake of Islam and he did not give that. There came to him a person and he gave him a large flock (of sheep and goats) and he went back to his people and said: My people; embrace Islam; for Muhammad gives so much charity as if he has no fear of want."
5/1,"Muslim: Book 30; Number 5728:
Musa b. Anas reported on the authority of his father: It never happened that Allah's Messenger (may peace be upon him) was asked anything for the sake of Islam and he did not give that. There came to him a person and he gave him a large flock (of sheep and goats) and he went back to his people and said: My people; embrace Islam; for Muhammad gives so much charity as if he has no fear of want."
5/2,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
5/3,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
5/4,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
5/5,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
5/6,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
5/7,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
5/8,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
5/9,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
5/10,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
5/11,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
5/12,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
5/13,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
5/14,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
5/15,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
5/16,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
5/17,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
5/18,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
5/19,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
5/20,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
5/21,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
5/22,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
5/23,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
5/24,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
5/25,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
5/26,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
5/27,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
5/28,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
5/29,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
5/30,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
5/31,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
6/1,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
6/2,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
6/3,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
6/4,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
6/5,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
6/6,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
6/7,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
6/8,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
6/9,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
6/10,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
6/11,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
6/12,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
6/13,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
6/14,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
6/15,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
6/16,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
6/17,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
6/18,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
6/19,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
6/20,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
6/21,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
6/22,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
6/23,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
6/24,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
6/25,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
6/26,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
6/27,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
6/28,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
6/29,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
6/30,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
7/1,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
7/2,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
7/3,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
7/4,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
7/5,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
7/6,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
7/7,"Narrated Abu Huraira:
The Prophet(PBUH) said; ""The signs of a hypocrite are three:
1. Whenever he speaks; he tells a lie.
2. Whenever he promises; he always breaks it (his promise ).
3. If you trust him; he proves to be dishonest. (If you keep something as a trust with him; he will
not return it.)"""
7/8,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
7/9,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
7/10,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
7/11,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
7/12,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
7/13,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
7/14,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not know.  "
7/15,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
7/16,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
7/17,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
7/18,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
7/19,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
7/20,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
7/21,"Book 34; Number 6447:
'A'isha reported Allah's Messenger (may peace be upon him) as saying: The most despicable amongst persons in the eye of Allah is one who tries to fall into dispute with others (for nothing but only to display his knowledge and power of argumentation)."
7/22,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
7/23,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
7/24,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
7/25,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
7/26,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
7/27,Muslim: Book 33; Number 6408: Sahl b. Sa'd reported it from Allah's Messenger (may peace be upon him) that a person performs deeds like the deeds of the people of Paradise apparently before people and he would be amongst the dwellers of Hell and a person acts apparently like the people of Hell; but (in fact) he would be among the dwellers of Paradise. 
7/28,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
7/29,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
7/30,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
7/31,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
8/1,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
8/2,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
8/3,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
8/4,"Muslim: Book 42; Number 7108:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: One who looks after the orphan whether he is his relative or not; I and he would be together in Paradise like this; and Malik (explained it) with the gesture by drawing his index finger and middle finger close together."
8/5,"Muslim: Book 42; Number 7114:
Abu Huraira reported Allah's Messenger (may peace be upon him) as stating that Allah the Most High and Exalted said: I am the One; One Who does not stand in need of a partner.If anyone does anything in which he associates anyone else with Me; I shall abandon him with one whom he associates with Allah. 
"
8/6,"Muslim: Book 42; Number 7114:
Abu Huraira reported Allah's Messenger (may peace be upon him) as stating that Allah the Most High and Exalted said: I am the One; One Who does not stand in need of a partner.If anyone does anything in which he associates anyone else with Me; I shall abandon him with one whom he associates with Allah. 
"
8/7,"Muslim: Book 42; Number 7114:
Abu Huraira reported Allah's Messenger (may peace be upon him) as stating that Allah the Most High and Exalted said: I am the One; One Who does not stand in need of a partner.If anyone does anything in which he associates anyone else with Me; I shall abandon him with one whom he associates with Allah. 
"
8/8,"Muslim: Book 42; Number 7114:
Abu Huraira reported Allah's Messenger (may peace be upon him) as stating that Allah the Most High and Exalted said: I am the One; One Who does not stand in need of a partner.If anyone does anything in which he associates anyone else with Me; I shall abandon him with one whom he associates with Allah. 
"
8/9,"Muslim: Book 42; Number 7114:
Abu Huraira reported Allah's Messenger (may peace be upon him) as stating that Allah the Most High and Exalted said: I am the One; One Who does not stand in need of a partner.If anyone does anything in which he associates anyone else with Me; I shall abandon him with one whom he associates with Allah. 
"
8/10,"Muslim: Book 42; Number 7114:
Abu Huraira reported Allah's Messenger (may peace be upon him) as stating that Allah the Most High and Exalted said: I am the One; One Who does not stand in need of a partner.If anyone does anything in which he associates anyone else with Me; I shall abandon him with one whom he associates with Allah. 
"
8/11,"Muslim: Book 32; Number 6181: 
Abu Huraira reported that a person said: Allah's Messenger; who amongst the people is most deserving of my good treatment? He said: Your mother; again your mother; again your mother; then your father; then your nearest relatives according to the order (of nearness). 
"
8/12,"Muslim: Book 32; Number 6181: 
Abu Huraira reported that a person said: Allah's Messenger; who amongst the people is most deserving of my good treatment? He said: Your mother; again your mother; again your mother; then your father; then your nearest relatives according to the order (of nearness). 
"
8/13,"Muslim: Book 32; Number 6181: 
Abu Huraira reported that a person said: Allah's Messenger; who amongst the people is most deserving of my good treatment? He said: Your mother; again your mother; again your mother; then your father; then your nearest relatives according to the order (of nearness). 
"
8/14,"Muslim: Book 32; Number 6181: 
Abu Huraira reported that a person said: Allah's Messenger; who amongst the people is most deserving of my good treatment? He said: Your mother; again your mother; again your mother; then your father; then your nearest relatives according to the order (of nearness). 
"
8/15,"Muslim: Book 32; Number 6181: 
Abu Huraira reported that a person said: Allah's Messenger; who amongst the people is most deserving of my good treatment? He said: Your mother; again your mother; again your mother; then your father; then your nearest relatives according to the order (of nearness). 
"
8/16,"Muslim: Book 32; Number 6181: 
Abu Huraira reported that a person said: Allah's Messenger; who amongst the people is most deserving of my good treatment? He said: Your mother; again your mother; again your mother; then your father; then your nearest relatives according to the order (of nearness). 
"
